region,confirmed_dead,confirmed_injured,confirmed_missing,for_validation_dead,for_validation_injured,for_validation_missing,total_reported_dead,total_reported_injured,total_reported_missing,typhoon,year
mimaropa,0,0,0,0,0,0,9,5,2,Ursula,2020
region_6,0,0,0,0,0,0,29,32,2,Ursula,2020
region_7,0,0,0,0,0,0,1,0,0,Ursula,2020
region_8,0,0,0,0,0,0,18,332,2,Ursula,2020
ncr,0,0,0,0,0,0,0,0,0,Ursula,2020
car,0,0,0,0,0,0,0,0,0,Ursula,2020
region_1,0,0,0,0,0,0,0,0,0,Ursula,2020
region_2,0,0,0,0,0,0,0,0,0,Ursula,2020
region_3,0,0,0,0,0,0,0,0,0,Ursula,2020
calabarzon,0,0,0,0,0,0,0,0,0,Ursula,2020
region_5,0,0,0,0,0,0,0,0,0,Ursula,2020
region_9,0,0,0,0,0,0,0,0,0,Ursula,2020
region_10,0,0,0,0,0,0,0,0,0,Ursula,2020
region_11,0,0,0,0,0,0,0,0,0,Ursula,2020
region_12,0,0,0,0,0,0,0,0,0,Ursula,2020
caraga,0,0,0,0,0,0,0,0,0,Ursula,2020
barmm,0,0,0,0,0,0,0,0,0,Ursula,2020
calabarzon,0,0,0,0,0,0,1,79,0,Tisoy,2020
mimaropa,0,0,0,0,0,0,1,79,0,Tisoy,2020
region_5,0,0,0,0,0,0,1,80,0,Tisoy,2020
region_8,0,0,0,0,0,0,1,80,0,Tisoy,2020
ncr,0,0,0,0,0,0,0,0,0,Tisoy,2020
car,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_1,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_2,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_3,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_6,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_7,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_9,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_10,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_11,0,0,0,0,0,0,0,0,0,Tisoy,2020
region_12,0,0,0,0,0,0,0,0,0,Tisoy,2020
caraga,0,0,0,0,0,0,0,0,0,Tisoy,2020
barmm,0,0,0,0,0,0,0,0,0,Tisoy,2020